TICKER;PRECO;ULTIMO DIVIDENDO;DY;VALOR PATRIMONIAL COTA;P/VP;LIQUIDEZ MEDIA DIARIA;PERCENTUAL EM CAIXA;CAGR DIVIDENDOS 3 ANOS; CAGR VALOR CORA 3 ANOS;PATRIMONIO;N COTISTAS;GESTAO; N COTAS
ASMT11;68,69;0,770000;13,74;84,20;0,82;2.626,11;4,25;;;85.655.510,06;339,00;Ativa;1.017.316,00
HGBS11;177,51;1,400000;8,96;221,39;0,80;2.015.534,57;0,67;38,31;-10,79;2.213.923.649,27;91.264,00;Ativa;10.000.000,00
HGPO11;246,19;1,600000;7,35;299,36;0,82;319.568,04;0,83;17,14;7,19;524.799.753,54;9.042,00;Passiva;1.753.057,00
PNDL11;0,00;;0,00;899,13;;;38,20;;;58.712.394,86;55,00;Ativa;65.299,00
RVBI11;68,94;0,750000;13,05;82,48;0,84;207.240,04;1,12;11,86;-6,00;118.775.061,25;12.171,00;Ativa;1.440.000,00
KNCR11;98,11;1,000000;13,61;100,74;0,97;10.077.634,86;5,62;52,96;-0,85;5.752.156.652,13;199.159,00;Ativa;57.097.087,00
LFTT11;68,00;3,668145;8,93;38,25;1,78;83.985,32;13,03;;;283.216.343,77;379,00;Ativa;7.404.543,00
IRIM11;90,30;1,015216;14,40;97,68;0,92;51.826,75;7,35;;;187.541.680,91;2.921,00;Ativa;1.920.000,00
RBRS11;52,75;0,400000;10,20;94,08;0,56;5.863,08;2,47;;;163.159.603,33;1.232,00;Ativa;1.734.299,00
CTXT11;11,46;0,010000;0,00;34,12;0,34;3.476,57;2,65;-23,80;-39,98;107.663.274,28;3.181,00;Passiva;3.155.589,00
FIIB11;436,49;3,250000;9,61;460,48;0,95;280.959,68;1,21;14,09;-3,04;315.429.737,15;17.037,00;Passiva;685.000,00
FISC11;165,00;0,380000;1,10;115,19;1,43;;0,91;;;195.826.719,93;66,00;Ativa;1.699.996,00
BPRP11;91,27;0,916654;11,49;109,14;0,84;91,00;0,18;4,80;-2,67;147.314.892,21;178,00;Passiva;1.349.837,00
BTLG11;94,74;0,740000;9,37;98,65;0,96;3.802.723,82;3,74;11,36;0,19;2.078.328.124,28;209.120,00;Ativa;21.066.892,00
RBDS11;3,40;2,354143;0,00;20,10;0,17;223,05;28,34;18,99;-53,23;2.543.063,78;961,00;Ativa;126.523,00
PBLV11;926,98;39,191985;7,89;1.527,33;0,61;;2,09;;;5.681.719.103,10;2,00;Ativa;3.720.045,00
PLOG11;70,22;0,750000;12,86;106,36;0,66;62.821,46;2,78;;;79.769.186,58;3.295,00;Ativa;750.000,00
LSPA11;107,33;0,730000;8,26;114,35;0,94;2.259.296,50;0,92;;;46.255.970,72;224,00;Ativa;404.500,00
ANCR11B;3.450,00;21,038620;4,49;3.442,69;1,00;;0,64;;;1.553.043.909,36;67,00;Ativa;451.113,00
ELDO11B;762,38;0,600000;13,35;1.439,17;0,53;;0,27;6,94;;1.132.994.231,53;60,00;Passiva;787.256,00
BRCO11;92,47;0,620000;8,67;121,44;0,76;2.470.401,50;1,23;6,59;-7,01;1.794.750.559,87;112.470,00;Ativa;14.778.781,00
RCRB11;114,01;0,740000;7,47;208,47;0,55;514.581,86;1,63;-6,73;-13,48;769.415.100,83;30.253,00;Ativa;3.690.695,00
BTCR11;88,00;0,900000;10,09;95,27;0,92;652.774,65;8,00;32,78;-1,47;458.252.683,73;16.934,00;Ativa;4.810.097,00
YUFI11;100,00;0,234167;1,99;103,59;0,97;283,83;12,15;;;51.031.566,94;42,00;Ativa;492.650,00
ORPD11;93,00;1,379310;0,00;147,93;0,63;402,75;0,00;;-5,15;42.900.966,32;6,00;Ativa;290.000,00
KNSC11;85,43;0,870000;12,79;88,06;0,97;3.583.258,68;4,85;;;1.169.001.887,90;87.493,00;Ativa;13.275.794,00
SAIC11B;37,88;0,662215;0,00;55,75;0,68;947,00;3,98;;-14,21;79.705.087,59;50,00;Passiva;1.429.740,00
IDFI11;53,83;0,501856;16,90;55,43;0,97;3.762,32;10,36;;;114.073.776,01;231,00;Ativa;2.057.925,00
VGIR11;9,76;0,130000;14,13;9,63;1,01;4.214.086,89;8,65;38,89;2,74;994.290.044,44;127.271,00;Ativa;103.220.707,00
BZEL11;0,00;;0,00;118,84;;;0,02;;;420.456.721,00;3,00;Ativa;3.538.046,00
GURB11;101,00;1,400000;4,42;107,75;0,94;25.249,00;3,14;;;122.309.991,64;15,00;Ativa;1.135.160,00
VTPA11;0,00;;0,00;100,96;;;0,13;;;65.626.755,76;1,00;Ativa;650.000,00
VCJR11;87,42;0,950000;12,85;94,35;0,93;1.426.343,86;4,63;13,36;-4,38;1.389.190.344,58;13.874,00;Ativa;14.723.970,00
SARE11;58,47;0,630000;13,17;94,11;0,62;1.494.770,29;7,94;28,23;-11,72;869.065.060,53;34.637,00;Ativa;9.234.329,00
KEVE11;990,02;3,046696;1,25;928,11;1,07;5.048,83;2,21;;;137.082.140,88;434,00;Passiva;147.700,00
JPPC11;130,00;0,170000;5,52;364,55;0,36;3.250,00;8,57;;;20.050.043,64;90,00;Ativa;55.000,00
RBIR11;60,00;0,458434;1,16;95,18;0,63;52.384,80;0,25;;-7,18;145.499.599,99;1.415,00;Ativa;1.528.615,00
HUSI11;1.137,61;7,826837;6,97;993,99;1,14;4.957,75;2,03;;;115.662.727,67;85,00;Ativa;116.362,00
MCCI11;84,99;0,950000;13,88;92,00;0,92;4.533.663,18;3,45;20,04;-4,96;1.560.313.254,44;106.391,00;Ativa;16.960.024,00
RBRM11;94.794,81;2.076,241121;44,82;47.003,14;2,02;;6,08;;;25.334.690,59;54,00;--;539,00
XPML11;99,27;0,770000;8,78;100,94;0,98;3.827.435,43;8,11;23,02;-2,16;2.151.430.403,56;300.598,00;Ativa;21.314.099,00
FISD11;0,00;6,526269;0,00;74,45;;;0,00;;;79.858.015,12;24,00;Ativa;1.072.588,00
ATCR11;0,00;0,226651;0,00;80,77;;;0,51;;;75.029.761,46;33,00;Ativa;928.908,00
SCPF11;5,12;0,047000;4,32;11,69;0,44;3.483,36;2,63;-27,81;-22,36;49.080.141,51;5.086,00;Ativa;4.200.000,00
XPCM11;14,14;0,120000;13,08;43,81;0,32;64.287,36;7,18;-43,63;-32,46;105.773.099,94;27.576,00;Passiva;2.414.570,00
BVAR11;0,00;12,910000;0,00;1.188,29;;;0,20;11,06;;743.320.271,01;69,00;Passiva;625.540,00
ARRI11;8,97;0,070000;16,41;8,85;1,01;391.829,61;7,55;22,13;1,85;108.250.162,27;21.209,00;Ativa;12.228.577,00
ABCP11;66,98;0,500000;9,00;91,51;0,73;66.025,50;1,78;8,10;-11,00;430.917.128,00;19.308,00;Passiva;4.709.082,00
ATWN11;0,00;;0,00;581,27;;;1,41;;;93.443.264,46;2,00;Passiva;160.757,00
PRSN11B;2,00;0,171678;8,58;4,76;0,42;735,14;20,12;;-15,54;15.378.787,72;763,00;Ativa;3.231.246,00
LATR11B;9,50;14,503964;0,00;10,75;0,88;57,00;101,52;;-72,95;1.333.900,04;166,00;Ativa;124.104,00
NEWU11;69,60;0,100000;0,53;68,79;1,01;7.871,46;1,35;53,51;;51.045.127,14;1.656,00;Ativa;742.000,00
FAMB11B;728,00;9,160000;0,00;2.991,78;0,24;46.231,27;2,12;-9,82;-33,54;313.538.497,89;2.781,00;Passiva;104.800,00
RZAK11;95,58;1,200000;18,68;93,29;1,02;3.595.619,75;3,95;;;521.840.168,96;30.505,00;Ativa;5.593.823,00
VCRR11;70,25;0,670000;11,44;128,25;0,55;127.019,00;0,98;;;256.508.987,83;3.001,00;Ativa;2.000.000,00
HSLG11;76,40;0,720000;10,67;104,88;0,73;656.575,93;5,01;;;1.327.747.793,11;24.279,00;Ativa;12.660.067,00
