TICKER;PRECO;ULTIMO DIVIDENDO;DY;VALOR PATRIMONIAL COTA;P/VP;LIQUIDEZ MEDIA DIARIA;PERCENTUAL EM CAIXA;CAGR DIVIDENDOS 3 ANOS; CAGR VALOR CORA 3 ANOS;PATRIMONIO;N COTISTAS;GESTAO; N COTAS
DPRO11;96,80;0,850000;8,01;96,04;1,01;1.697,67;6,53;;;35.679.316,70;145,00;Ativa;371.500,00
SEED11;100,00;1,070000;13,54;84,00;1,19;406.666,67;1,51;;;137.759.520,72;112,00;Ativa;1.640.000,00
PNLN11;0,00;;0,00;57,49;;;31,67;;;758.600,89;51,00;Ativa;13.196,00
MGCR11;79,45;0,858597;16,41;89,75;0,89;140.258,89;5,11;;;127.656.475,61;4.127,00;Ativa;1.422.304,00
VGHF11;9,11;0,100000;14,82;9,12;1,00;2.244.294,75;2,29;;;664.534.710,90;225.496,00;Ativa;72.889.247,00
RECT11;51,04;0,540000;11,95;93,42;0,55;452.965,25;2,17;-12,46;-19,95;798.131.351,87;77.186,00;Ativa;8.543.493,00
VSHO11;64,60;0,650000;11,28;99,43;0,65;25.999,07;1,82;11,72;-15,22;208.675.763,86;2.710,00;Ativa;2.098.800,00
SNEL11;100,00;;0,00;94,04;1,06;;29,22;;;47.024.158,51;3.363,00;Ativa;500.026,00
ROOF11;770,00;7,919913;5,13;689,38;1,12;770,00;7,08;;;53.423.763,21;75,00;Ativa;77.495,00
VXXV11;990,00;10,760000;0,00;941,31;1,05;3.500.640,00;0,17;;;249.711.450,21;22,00;Ativa;265.282,00
CNES11;30,00;0,129725;4,24;89,35;0,34;4.418,54;5,45;-24,43;-25,31;263.516.534,26;1.851,00;Ativa;2.949.248,00
BMII11;0,00;0,228341;0,00;473,27;;;1,39;;;68.009.067,24;12,00;Passiva;143.700,00
BLMC11;75,00;0,810000;15,80;96,08;0,78;3.430,54;3,85;;;38.382.613,19;420,00;Ativa;399.500,00
HAAA11;65,90;0,470000;9,82;89,28;0,74;2.871,05;1,18;;;308.451.867,92;185,00;Ativa;3.455.000,00
HGRS11;0,00;;0,00;101,33;;;12,92;;;151.277.514,01;6,00;Ativa;1.492.940,00
KNRI11;134,62;0,950000;7,98;159,89;0,84;3.023.802,32;1,97;10,87;-3,56;3.862.362.439,82;244.779,00;Ativa;24.157.121,00
XPSF11;6,98;0,076000;12,58;8,14;0,86;721.490,11;0,99;0,79;-7,08;352.455.905,77;38.832,00;Ativa;43.302.140,00
NCRI11;9,57;0,110000;3,55;10,10;0,95;33.962,08;8,26;;;39.894.696,81;57,00;Ativa;3.949.999,00
NEWL11;99,97;0,930000;11,76;120,10;0,83;103.234,18;3,34;9,33;-5,38;244.177.290,35;3.732,00;Ativa;2.033.099,00
WPLZ11;63,01;0,450000;8,49;87,83;0,72;4.150,61;2,17;-3,04;-13,69;89.651.439,97;1.835,00;Passiva;1.020.747,00
TRNT11;108,99;0,400000;3,84;196,66;0,55;15.388,25;0,72;-8,01;-17,63;773.950.568,58;716,00;Passiva;3.935.562,00
ESTQ11;0,00;;0,00;0,06;;;38,96;;;4.092.289,40;5,00;Ativa;65.361.974,00
HBCR11;114,39;0,572983;5,11;101,94;1,12;1.363,00;3,77;;;108.649.184,33;40,00;Ativa;1.065.777,00
WTSP11B;37,00;0,200002;3,60;72,47;0,51;15.508,25;0,51;-3,98;-13,89;71.930.941,49;203,00;Ativa;992.565,00
OURE11;73,79;1,000000;16,67;90,52;0,82;170.218,21;1,29;17,94;-7,92;97.497.098,76;5.683,00;Ativa;1.077.087,00
TOUR11;8,80;0,242328;0,00;0,00;;;;;;0,00;0,00;Ativa;0,00
IBCR11;75,98;0,900000;15,99;93,91;0,81;240.603,64;13,38;;;90.007.052,95;3.970,00;Ativa;958.423,00
VIFI11;6,86;0,065000;10,80;8,63;0,79;69.643,75;6,11;;;69.794.791,27;6.929,00;Ativa;8.089.190,00
RMAI11;50,19;0,260000;6,22;107,82;0,47;21.729,32;0,55;;;263.485.516,14;1.185,00;Ativa;2.443.800,00
WSEC11;91,05;1,100000;6,75;101,82;0,89;16.055,46;2,61;;;25.011.914,64;455,00;Ativa;245.651,00
OUJP11;91,07;1,250000;16,91;99,79;0,91;1.038.372,68;8,33;25,62;-2,42;324.547.926,63;27.005,00;Ativa;3.252.384,00
RBHY11;92,88;1,200000;17,01;94,70;0,98;109.703,04;6,57;;;179.305.483,98;3.713,00;Ativa;1.893.505,00
JASC11;101,00;0,430000;3,04;117,59;0,86;101,00;0,52;;;214.046.825,88;69,00;Ativa;1.820.287,00
HUCG11;68,70;0,260000;10,41;101,47;0,68;5.929,64;59,81;;;113.844.325,58;212,00;Passiva;1.122.000,00
LIFE11;9,99;0,135000;13,92;10,13;0,99;11.324,11;8,36;;;173.389.173,12;859,00;Ativa;17.110.848,00
BNFS11;118,00;1,348876;14,55;91,39;1,29;69.559,89;5,96;13,93;0,86;63.975.331,10;4.015,00;Ativa;700.000,00
QIRI11;78,04;0,660000;5,16;89,61;0,87;6.867,57;100,31;;;13.441.852,95;173,00;Ativa;150.000,00
BTSI11;0,00;0,710000;0,00;104,29;;;0,03;;;195.024.485,24;91,00;Ativa;1.870.000,00
RSPD11;1.125,00;8,370450;3,86;1.148,04;0,98;;1,31;;;171.070.236,81;105,00;Ativa;149.011,00
MGHT11;60,60;0,800000;13,53;84,71;0,72;103.534,21;8,97;;;111.293.895,34;2.752,00;--;1.313.784,00
RBOP11;467,00;8,250000;27,03;771,02;0,61;76.457,89;7,11;9,37;-24,16;78.384.711,06;3.646,00;Ativa;101.664,00
BLCP11;91,00;0,563428;4,45;111,74;0,81;103.127,50;1,06;;;256.580.339,90;279,00;Ativa;2.296.282,00
RECX11;62,00;0,696920;14,57;76,89;0,81;6.737,82;0,69;;;16.785.344,48;681,00;Ativa;218.313,00
RBRI11;999,89;35,620000;0,00;1.218,47;0,82;98.989,00;0,64;;;158.341.951,92;84,00;--;129.951,00
SHOP11;75,00;;0,00;45,95;1,63;228,50;6,11;;;68.065.089,14;27,00;Ativa;1.481.266,00
RBGS11;28,45;0,176600;0,00;90,78;0,31;;0,52;4,91;-17,68;97.865.283,71;2.808,00;Passiva;1.078.000,00
TORD11;5,03;0,050000;17,43;13,99;0,36;503.177,04;0,46;;;490.440.876,72;109.225,00;Ativa;35.051.354,00
IBFF11;66,40;0,296485;3,42;14,78;4,49;162.549,50;101,13;;-8,26;9.855.905,16;3.870,00;Ativa;666.681,00
TORM13;142,00;10,562960;0,00;0,00;;;;;;0,00;0,00;Ativa;0,00
NPAR11;12,82;1,196695;0,00;14,07;0,91;3.347,73;100,00;;;1.682.250,84;772,00;Ativa;119.589,00
CARE11;2,13;0,008385;0,00;8,14;0,26;21.999,64;0,33;;-23,19;291.093.995,38;11.984,00;Ativa;35.769.919,00
TFOF11;138,00;2,370000;0,00;121,20;1,14;;13,36;29,98;2,67;103.080.374,68;3.278,00;Ativa;850.530,00
GTLG11;95,81;0,700000;8,77;93,92;1,02;15.518,89;4,32;;;673.719.858,78;136,00;Ativa;7.173.000,00
ALZR11;112,10;0,805560;12,66;106,01;1,06;969.363,25;5,89;32,20;3,20;733.923.761,30;119.345,00;Ativa;6.922.906,00
VTRT11;0,00;0,107508;0,00;100,80;;;20,14;;;1.030.654.046,20;499,00;Ativa;10.224.963,00
VERE11;233,49;2,070000;14,45;334,59;0,70;;0,67;16,16;;191.065.487,16;54,00;Ativa;571.038,00
RDPD11;26,86;0,370000;22,71;28,25;0,95;13.079,21;1,71;11,25;-31,21;30.458.260,17;1.621,00;Ativa;1.078.042,00
XPIN11;71,20;0,650000;10,55;103,50;0,69;421.825,29;3,83;0,63;-15,78;740.047.972,60;46.043,00;Ativa;7.150.422,00
BRHT11B;86,80;;0,00;77,10;1,13;;2,01;;;141.984.814,41;11,00;Ativa;1.841.677,00
HGRE11;110,37;0,780000;8,69;156,98;0,70;1.949.679,36;0,05;6,59;-10,79;1.855.205.413,24;139.177,00;Ativa;11.817.767,00
HGRU11;115,80;0,850000;9,87;122,78;0,94;3.393.926,04;1,84;11,71;0,28;2.260.007.284,34;194.069,00;Ativa;18.406.458,00
HREC11;75,22;0,900000;15,89;88,41;0,85;763.025,68;1,13;;;455.921.879,22;1.010,00;Ativa;5.156.765,00
HLOG11;84,64;0,650000;9,22;116,36;0,73;28.788,89;2,09;0,52;-10,98;494.549.459,45;4.173,00;Ativa;4.250.000,00
JSAF11;77,80;0,930000;14,34;91,83;0,85;278.312,89;0,97;;;144.459.067,64;3.675,00;Ativa;1.573.047,00
FLMA11;120,00;0,780000;8,67;160,27;0,75;53.322,93;1,86;29,67;-5,68;221.279.915,81;16.968,00;Ativa;1.380.670,00
DVFF11;67,79;0,700000;13,23;88,28;0,77;22.276,93;6,25;;;97.193.956,72;681,00;Ativa;1.100.950,00
CCLB11;0,00;;0,00;58,66;;;6,18;;;36.952.853,99;21,00;Ativa;630.000,00
BBFO11;66,40;0,730000;13,42;79,17;0,84;196.303,36;0,58;;;316.997.914,16;5.183,00;Passiva;4.003.900,00
GSFI11;5,12;;0,00;14,16;0,36;20.379,36;0,81;;17,45;1.065.034.856,41;7.183,00;Ativa;75.198.136,00
ALZM11;85,00;0,870000;14,77;91,79;0,93;155.377,79;1,04;;;63.444.001,11;3.668,00;Ativa;691.192,00
HGLG11;160,49;1,100000;10,28;153,22;1,05;4.743.140,64;3,45;14,37;1,36;3.593.946.727,56;338.853,00;Ativa;23.456.675,00
MINT11;98,86;;0,00;133,32;0,74;197,00;6,31;;;69.325.737,79;68,00;Ativa;520.000,00
SPXS11;80,30;0,910000;5,83;94,30;0,85;176.717,93;22,30;;;116.763.290,52;1.829,00;Ativa;1.238.196,00
SNLG11;39,31;0,350000;11,98;61,48;0,64;62.601,79;29,08;;;116.088.485,68;3.940,00;Ativa;1.888.174,00
TCIN11;129,23;;0,00;126,06;1,03;387,00;0,04;;;104.783.844,73;133,00;Ativa;831.197,00
JRDM11;78,00;1,140000;9,25;89,28;0,87;30.101,07;0,60;18,95;-4,66;225.243.958,17;4.241,00;Passiva;2.522.968,00
PRSV11;125,01;1,620000;0,00;219,14;0,57;1.862,85;10,42;28,92;-32,19;42.731.432,05;1.025,00;Passiva;195.000,00
PQDP11;2.011,33;17,342905;9,13;3.125,39;0,64;130.200,50;1,98;7,25;-15,21;767.323.452,22;4.005,00;Passiva;245.513,00
HDEL11;104,30;1,950000;3,70;85,00;1,23;8.686,67;100,24;;;3.568.448,67;52,00;Passiva;41.983,00
JCDB11;0,00;;0,00;138,88;;;0,39;;;106.865.143,93;58,00;Ativa;769.499,00
MAXR11;63,26;0,543076;11,90;123,50;0,51;133.985,21;1,08;-3,55;-14,60;139.022.535,82;4.195,00;Ativa;1.125.655,00
SADI11;89,45;1,070000;13,87;98,63;0,91;484.564,11;2,22;67,83;0,65;313.671.106,73;9.250,00;Ativa;3.180.207,00
CPTS11;77,92;0,750000;13,09;87,82;0,89;5.750.886,82;3,79;6,10;-6,23;2.791.085.184,10;207.686,00;Ativa;31.782.814,00
CXCI11;75,95;0,830000;12,10;90,86;0,84;104.177,07;2,77;;;186.974.571,02;5.522,00;Ativa;2.057.726,00
APTO11;8,28;0,100000;15,70;9,95;0,83;86.545,04;14,53;;;39.933.777,14;5.694,00;Ativa;4.012.857,00
MGIM11;101,50;0,176173;0,17;98,41;1,03;;101,04;;;24.337.124,08;75,00;Ativa;247.300,00
SPMO11;99,00;0,430000;0,43;112,23;0,88;327,67;0,09;;;202.882.023,59;6,00;Ativa;1.807.730,00
FVPQ11;95,19;0,620000;9,96;191,46;0,50;41.554,39;1,92;-12,34;-19,41;536.125.450,99;3.998,00;Passiva;2.800.149,00
SDIL11;88,50;0,830000;10,67;97,57;0,91;701.550,86;1,10;13,89;-1,64;623.975.372,70;65.802,00;Ativa;6.395.050,00
LOFT11B;29,90;0,201705;0,00;15,25;1,96;;10,14;;-33,85;29.932.329,65;1,00;Ativa;1.962.500,00
GAME11;8,64;0,100000;15,05;9,79;0,88;93.840,82;0,52;;;212.457.485,59;19.752,00;Ativa;21.697.877,00
RBVA11;91,11;0,950000;13,24;106,60;0,85;912.429,46;0,94;4,89;-10,24;1.235.324.531,19;45.953,00;Ativa;11.588.199,00
RBRY11;95,50;1,150000;13,62;99,78;0,96;1.279.848,57;8,68;20,15;-2,49;553.436.918,69;28.463,00;Ativa;5.546.804,00
FMOF11;55,00;0,310000;0,82;118,73;0,46;243,88;1,42;18,01;-16,72;60.314.340,44;288,00;Passiva;508.008,00
EURO11;233,96;1,870000;9,33;325,15;0,72;72.284,14;1,48;20,42;15,46;124.835.470,95;2.541,00;Passiva;383.936,00
ERCR11;76.000,00;139,449698;7,67;65.128,34;1,17;;0,19;;;154.744.932,02;10,00;Passiva;2.376,00
VLJS11;1.141,14;28,819221;0,00;1.026,92;1,11;;4,96;;;26.770.292,70;9,00;Passiva;26.068,00
KNIP11;90,20;0,910000;13,16;93,78;0,96;7.402.033,43;2,93;5,81;-6,68;7.509.519.400,05;68.845,00;Ativa;80.078.186,00
HCST11;61,01;;0,00;99,62;0,61;61,00;4,59;;;46.561.742,85;75,00;Ativa;467.414,00
BIME11;7,07;0,080000;17,96;8,94;0,79;75.909,29;2,10;;;52.284.897,57;6.680,00;Ativa;5.845.602,00
RECR11;81,94;0,910000;14,84;95,33;0,86;3.743.113,36;1,33;-0,69;-4,84;2.520.797.688,65;183.801,00;Ativa;26.441.650,00
HGFF11;68,89;0,650000;11,15;84,57;0,81;621.653,57;3,88;3,63;-8,89;242.184.404,12;9.698,00;Ativa;2.863.597,00
QAMI11;79,03;0,950000;15,54;91,49;0,86;20.926,64;3,48;;;73.317.528,67;1.498,00;Ativa;801.398,00
EGYR11;1,10;;0,00;12,40;0,09;43.743,82;0,00;;;93.276.676,40;25,00;Passiva;7.524.543,00
JTPR11;2.517,00;1,630372;0,00;81,92;30,73;;7,57;;;17.585.330,32;8,00;Ativa;214.674,00
SALI11;0,00;;0,00;101,40;;;5,51;;;8.068.136,19;1,00;Passiva;79.565,00
GGRC11;102,01;0,950000;11,16;124,81;0,82;1.211.768,14;5,76;10,39;-5,27;1.015.193.319,92;102.309,00;Ativa;8.134.118,00
FPAB11;134,51;1,520000;14,34;375,20;0,36;18.970,07;1,81;-1,98;-28,82;281.400.133,14;963,00;Passiva;750.000,00
URPR11;95,31;1,300000;18,34;99,06;0,96;2.691.142,57;9,76;-2,88;;1.156.551.277,20;92.541,00;Ativa;11.675.248,00
TBOF11;15,56;0,822740;5,29;0,21;74,10;;492,15;74,62;-45,86;2.097.587,74;9.180,00;Passiva;10.050.000,00
PNPR11;100,00;;0,00;99,07;1,01;25.000,00;0,40;;;85.591.631,55;23,00;Ativa;863.967,00
STRX11;8,52;0,780000;106,22;148,19;0,06;;0,76;-70,72;;239.120.300,39;55,00;Ativa;1.613.559,00
BLMR11;6,17;0,065000;14,15;7,52;0,82;382.065,96;2,74;;;192.139.436,48;17.777,00;Ativa;25.541.630,00
MFCR11;103,90;0,970000;6,30;100,61;1,03;629,33;2,95;;;10.184.333,79;96,00;Ativa;101.230,00
RCFF11;100,00;1,231214;2,98;88,81;1,13;14.913,57;11,90;;;28.704.832,95;84,00;Ativa;323.200,00
FINF11;0,00;0,268812;0,00;40,55;;;2,27;-1,72;;33.252.988,45;4,00;Ativa;820.112,00
JFLL11;58,95;0,620000;12,74;101,03;0,58;63.252,93;2,38;;;151.606.858,87;4.161,00;Ativa;1.500.598,00
VRTA11;85,70;0,950000;14,89;90,81;0,94;2.294.150,21;4,06;12,22;-8,31;1.415.905.408,76;119.228,00;Ativa;15.592.424,00
BMLC11;100,98;0,690000;8,98;113,46;0,89;26.621,32;3,20;9,40;3,53;113.282.862,37;1.438,00;Ativa;998.405,00
RNGO11;47,47;0,430000;10,51;86,59;0,55;84.910,57;1,94;-1,62;-15,38;231.716.213,79;11.931,00;Passiva;2.676.000,00
BBIM11;0,00;0,150000;0,00;29,87;;;3,27;-15,62;;30.913.214,77;1,00;Ativa;1.035.000,00
VSLH11;7,18;0,060000;17,28;10,48;0,69;1.019.951,82;1,15;;;313.054.506,69;92.564,00;Ativa;29.864.091,00
FATN11;94,58;0,740000;10,70;99,44;0,95;136.611,32;4,02;;;120.838.445,94;919,00;Ativa;1.215.179,00
BTSG11;100,00;0,870000;10,07;137,68;0,73;100,00;0,78;;;106.703.403,82;56,00;Ativa;775.015,00
VTVI11;0,00;;0,00;35,96;;;1,34;;;64.045.720,30;1,00;Ativa;1.780.984,00
VTLT11;89,50;0,880000;11,24;100,72;0,89;198.062,07;2,92;4,87;-6,36;213.026.240,91;6.280,00;Ativa;2.115.000,00
BTCI11;8,88;0,106000;15,02;10,07;0,88;1.014.456,36;8,14;12,72;-55,61;1.001.785.062,11;37.181,00;Ativa;99.521.172,00
HABT11;87,20;1,200000;15,88;99,75;0,87;1.696.134,21;5,13;2,42;-4,34;810.671.378,92;68.688,00;Ativa;8.126.783,00
GCFF11;68,15;0,700000;13,18;79,46;0,86;33.368,78;0,81;;;26.903.483,90;1.958,00;Ativa;338.598,00
RBHG11;83,00;1,050000;16,99;92,52;0,90;253.999,18;2,94;32,79;-2,81;159.833.690,61;7.576,00;Ativa;1.727.582,00
KIVO11;91,00;1,200000;17,36;96,54;0,94;182.264,25;14,94;;;117.309.545,06;1.449,00;Ativa;1.215.124,00
SJAU11;90,00;;0,00;102,43;0,88;1.766,60;0,04;;;812.534.495,67;142,00;Passiva;7.932.248,00
OULG11;37,71;0,410000;4,06;67,22;0,56;46.308,32;2,24;-20,16;-26,51;166.782.420,80;5.225,00;Ativa;2.481.284,00
PQAG11;52,00;0,440000;9,77;57,24;0,91;4.369,55;0,01;;;800.863.763,13;465,00;Ativa;13.991.890,00
BRIX11;0,00;;0,00;915,36;;;0,43;;;58.518.916,50;54,00;Ativa;63.929,00
VTXI11;0,00;;0,00;11,76;;;34,56;;;1.217.611,13;2,00;Ativa;103.500,00
HTMX11;105,83;0,626698;6,21;138,75;0,76;274.543,21;3,54;10,66;-8,65;208.729.898,34;26.023,00;Ativa;1.504.334,00
NAVT11;71,87;0,850000;14,08;87,55;0,82;403.957,29;2,61;;;92.326.825,95;1.678,00;Ativa;1.054.507,00
GALG11;8,28;0,082000;11,81;9,32;0,89;419.668,57;0,96;;;535.708.118,61;25.166,00;Ativa;57.485.300,00
VVCO11;8,99;0,323281;0,00;13,74;0,65;15.024,89;1,35;;-0,95;68.886.074,23;3.984,00;Ativa;5.014.556,00
FRHY11;0,00;1,030000;0,00;100,53;;;8,37;;;13.119.272,40;7,00;Ativa;130.500,00
FCFL11;109,24;0,803899;8,99;116,17;0,94;308.815,54;0,60;14,36;-0,23;403.561.990,48;3.794,00;Ativa;3.474.010,00
ATSA11;74,03;0,050000;0,47;81,55;0,91;453,82;1,94;1,98;-18,94;142.803.950,32;281,00;Passiva;1.751.141,00
SNCI11;97,30;1,000000;14,65;97,40;1,00;813.403,36;0,98;;;409.072.527,24;44.488,00;Ativa;4.200.000,00
MCHF11;8,99;0,100000;13,46;9,43;0,95;1.294.601,68;2,76;;;304.515.100,86;38.439,00;Ativa;32.307.646,00
ZAVI11;126,00;1,050000;4,43;127,55;0,99;69.715,17;4,76;;;118.179.259,04;96,00;Ativa;926.518,00
RBRL11;72,00;0,580000;10,76;106,07;0,68;450.560,11;1,41;-0,32;;709.284.653,49;10.321,00;Ativa;6.687.035,00
OUFF11;61,30;0,700000;14,11;73,72;0,83;148.553,50;1,54;4,52;-14,36;133.752.075,39;8.337,00;Ativa;1.814.336,00
BCIA11;81,62;0,780000;10,94;96,92;0,84;379.251,68;0,10;2,47;-22,00;360.458.463,59;14.134,00;Ativa;3.719.038,00
RBLG11;93,19;0,880000;10,90;99,35;0,94;314.935,56;1,67;;;63.604.334,23;178,00;Ativa;640.199,00
BPFF11;59,25;0,620000;13,59;71,74;0,83;350.664,00;3,98;7,95;-16,70;322.269.846,68;19.420,00;Ativa;4.492.326,00
MVFI11;0,00;;0,00;1,51;;;0,68;;;118.213.535,72;1,00;Ativa;78.155.673,00
SPAF11;0,00;5,974761;0,00;994,13;;;0,84;37,04;;11.203.886,46;1,00;Ativa;11.270,00
DLMT11;0,00;0,007684;0,00;0,65;;;2,13;;;8.615.285,97;9,00;Ativa;13.225.796,00
PATB11;0,00;6,473025;0,00;148,83;;;3,16;;;568.861.087,36;57,00;Ativa;3.822.328,00
VIUR11;6,46;0,072000;13,41;9,19;0,70;340.443,50;8,47;;;247.505.992,49;13.081,00;Ativa;26.946.220,00
CJCT11;67,52;0,330000;0,00;65,80;1,03;13.808,62;5,45;;5,08;206.620.369,41;1.201,00;Passiva;3.140.000,00
XPCI11;81,24;1,000000;14,02;90,71;0,90;2.216.617,86;3,38;14,09;-4,06;789.309.106,50;71.969,00;Ativa;8.701.551,00
ITIP11;76,70;0,880000;14,05;78,75;0,97;64.915,82;1,57;;;58.916.480,43;2.526,00;Passiva;748.151,00
HGIC11;99,31;0,854232;12,30;115,39;0,86;13.240,26;21,26;;;53.391.265,10;405,00;Ativa;462.706,00
MMPD11;0,00;;0,00;104,26;;;2,72;;;55.257.433,41;48,00;Ativa;530.000,00
FTCE11B;2.870,00;86,123246;7,74;2.837,41;1,01;4.772.810,00;2,31;;;2.695.032.612,50;57,00;Ativa;949.822,00
HSRE11;102,50;0,630000;7,10;96,40;1,06;377.542,13;2,40;;;821.157.862,30;186,00;Ativa;8.518.064,00
BICR11;100,57;0,720000;9,79;99,46;1,01;965,80;36,19;46,70;0,19;49.727.672,72;535,00;Ativa;500.000,00
EDFO11B;200,00;1,670307;9,99;180,63;1,11;4.207,93;1,74;3,62;-5,90;42.629.769,94;546,00;Passiva;236.000,00
KNRE11;0,64;0,037742;53,90;0,76;0,84;10.764,39;16,90;;-50,26;14.036.869,14;5.821,00;Ativa;18.547.161,00
DOVL11B;21,39;30,210335;263,87;1.201,04;0,02;;3,76;;;79.756.366,36;52,00;Ativa;66.406,00
LRDI11;0,00;;0,00;98,66;;;16,67;;;27.070.712,60;18,00;Ativa;274.379,00
NSLU11;166,88;1,514207;6,39;199,02;0,84;136.711,25;3,00;-14,53;-10,40;257.396.219,64;6.635,00;Passiva;1.293.286,00
VSEC11;44,00;0,130000;8,50;101,02;0,44;7.040,00;72,75;;;6.337.679,19;65,00;Ativa;62.735,00
TSNC11;0,00;0,625958;0,00;88,14;;;5,33;-23,66;;95.792.432,92;66,00;Ativa;1.086.780,00
VOTS11;83,00;1,100000;15,64;93,10;0,89;9.813,21;4,30;48,05;-4,23;77.081.125,01;567,00;Ativa;827.913,00
CYLD11;0,00;;0,00;101,94;;;19,94;;;63.384.028,14;46,00;Ativa;621.750,00
SRVD11;7,00;0,200000;2,86;0,74;9,46;72,38;1,38;;;71.282.243,86;99,00;Ativa;96.286.020,00
FLCR11;94,70;1,150000;15,14;98,27;0,96;45.811,36;10,88;;;62.261.956,25;2.789,00;Ativa;633.604,00
VINO11;43,54;0,310000;9,23;54,80;0,79;1.227.685,04;3,61;-4,18;-8,85;907.780.630,41;124.619,00;Ativa;16.565.259,00
AQLL11;385,03;;0,00;989,92;0,39;;0,33;;;144.348.099,78;56,00;Ativa;145.817,00
