"Date","Price","Open","High","Low","Vol.","Change %"
"03/10/2023","103.50","104.70","106.80","103.50","41.15K","-1.14%"
"03/09/2023","104.69","105.04","105.44","104.60","16.35K","-0.33%"
"03/08/2023","105.04","105.00","105.90","105.00","18.17K","0.04%"
"03/07/2023","105.00","104.96","105.50","104.57","26.25K","0.04%"
"03/06/2023","104.96","104.48","105.47","104.01","20.52K","0.46%"
"03/03/2023","104.48","102.96","104.90","102.96","23.09K","1.48%"
"03/02/2023","102.96","102.10","103.44","102.10","17.38K","0.88%"
"03/01/2023","102.06","103.19","104.49","102.00","27.36K","-1.05%"
"02/28/2023","103.14","105.60","106.89","101.88","26.03K","-2.25%"
"02/27/2023","105.51","104.40","105.60","104.40","21.40K","1.06%"
"02/24/2023","104.40","104.08","104.96","104.06","17.36K","0.34%"
"02/23/2023","104.05","104.28","105.00","103.95","14.34K","-0.22%"
"02/22/2023","104.28","104.00","104.47","103.50","11.86K","0.27%"
"02/17/2023","104.00","103.64","104.00","103.39","20.60K","0.04%"
"02/16/2023","103.96","103.50","103.96","103.43","16.39K","0.44%"
"02/15/2023","103.50","103.00","103.76","103.00","20.54K","0.49%"
"02/14/2023","103.00","102.20","103.00","102.20","15.28K","0.78%"
"02/13/2023","102.20","102.18","103.00","102.04","16.27K","0.02%"
"02/10/2023","102.18","101.95","102.66","101.70","17.88K","0.23%"
"02/09/2023","101.95","102.15","102.60","100.40","17.59K","-0.20%"
"02/08/2023","102.15","102.79","102.94","101.75","22.69K","-0.62%"
"02/07/2023","102.79","102.93","103.82","102.48","21.92K","-0.14%"
"02/06/2023","102.93","103.63","104.00","102.61","61.35K","-0.68%"
"02/03/2023","103.63","102.81","103.99","102.81","21.18K","0.82%"
"02/02/2023","102.79","103.49","104.29","102.54","33.46K","0.50%"
"02/01/2023","102.28","105.88","106.01","102.11","42.72K","-3.53%"
"01/31/2023","106.02","106.07","106.44","105.79","25.23K","-0.81%"
"01/30/2023","106.89","106.98","107.18","106.50","22.04K","-0.08%"
"01/27/2023","106.98","106.85","107.22","106.70","21.63K","0.26%"
"01/26/2023","106.70","106.58","106.97","106.04","28.19K","0.11%"
"01/25/2023","106.58","106.01","107.06","106.00","19.15K","0.55%"
"01/24/2023","106.00","106.40","106.71","106.00","24.15K","-0.28%"
"01/23/2023","106.30","106.52","106.89","106.11","24.90K","-0.47%"
"01/20/2023","106.80","106.89","106.89","106.01","21.59K","-0.08%"
"01/19/2023","106.89","107.09","107.33","106.29","19.98K","-0.20%"
"01/18/2023","107.10","106.55","107.23","105.90","24.24K","0.52%"
"01/17/2023","106.55","106.20","106.70","105.99","18.53K","0.33%"
"01/16/2023","106.20","105.50","106.20","105.20","20.22K","0.66%"
"01/13/2023","105.50","104.21","105.65","104.21","25.10K","1.24%"
"01/12/2023","104.21","104.80","105.41","104.15","15.86K","-0.56%"
"01/11/2023","104.80","104.70","105.02","103.49","24.92K","0.10%"
"01/10/2023","104.70","104.94","105.49","104.16","23.39K","-0.23%"
"01/09/2023","104.94","103.65","105.25","102.95","25.10K","1.24%"
"01/06/2023","103.65","104.60","104.60","103.20","26.90K","-0.97%"
"01/05/2023","104.66","101.91","106.70","101.91","28.79K","2.76%"
"01/04/2023","101.85","104.50","105.48","101.04","34.55K","-1.97%"
"01/03/2023","103.90","106.48","109.98","103.00","51.17K","-2.44%"
"01/02/2023","106.50","106.21","107.00","104.09","24.26K","0.26%"
"12/29/2022","106.22","103.86","106.22","103.85","14.64K","2.27%"
"12/28/2022","103.86","103.16","104.08","103.16","16.57K","0.73%"
"12/27/2022","103.11","102.96","103.92","102.96","19.82K","0.15%"
"12/26/2022","102.96","102.84","104.24","102.70","18.50K","0.12%"
"12/23/2022","102.84","102.65","104.70","102.65","20.19K","0.19%"
"12/22/2022","102.65","102.99","103.31","102.60","17.18K","0.32%"
"12/21/2022","102.32","102.28","103.92","102.28","27.33K","0.04%"
"12/20/2022","102.28","100.71","102.33","100.71","20.94K","1.56%"
"12/19/2022","100.71","100.46","101.94","100.46","22.36K","0.36%"
"12/16/2022","100.35","101.51","102.99","100.35","20.05K","-1.14%"
"12/15/2022","101.51","102.48","103.10","101.50","22.39K","-0.95%"
"12/14/2022","102.48","103.45","104.31","102.00","26.05K","-0.94%"
"12/13/2022","103.45","103.75","104.97","103.34","15.35K","-0.22%"
"12/12/2022","103.68","105.84","106.00","103.61","21.44K","-2.04%"
"12/09/2022","105.84","105.15","106.20","105.15","10.03K","0.66%"
"12/08/2022","105.15","105.45","106.40","104.31","18.57K","0.14%"
"12/07/2022","105.00","105.30","106.20","105.00","19.81K","-0.28%"
"12/06/2022","105.30","105.50","107.00","104.01","31.46K","0.14%"
"12/05/2022","105.15","105.00","107.02","104.89","17.37K","0.14%"
"12/02/2022","105.00","103.96","105.00","103.96","13.06K","1.29%"
"12/01/2022","103.66","104.86","105.36","103.66","22.08K","-0.42%"
"11/30/2022","104.10","102.05","104.14","102.05","22.83K","2.09%"
"11/29/2022","101.97","102.60","103.62","101.79","21.63K","-1.34%"
"11/28/2022","103.35","103.10","104.48","103.09","17.08K","0.24%"
"11/25/2022","103.10","104.28","105.30","103.05","19.21K","-1.13%"
"11/24/2022","104.28","103.20","105.46","103.20","12.12K","1.05%"
"11/23/2022","103.20","102.00","103.96","102.00","15.14K","1.28%"
"11/22/2022","101.90","104.10","105.95","100.75","33.15K","-2.11%"
"11/21/2022","104.10","105.00","105.68","104.00","22.55K","-0.71%"
"11/18/2022","104.84","104.60","107.00","104.07","22.48K","0.23%"
"11/17/2022","104.60","108.35","108.35","103.15","34.15K","-3.46%"
"11/16/2022","108.35","108.15","108.97","107.91","24.23K","0.19%"
"11/14/2022","108.14","109.62","110.00","108.08","20.26K","-1.35%"
"11/11/2022","109.62","111.88","111.88","109.47","24.32K","-2.04%"
"11/10/2022","111.90","113.03","113.54","111.53","24.57K","-1.45%"
"11/09/2022","113.55","113.00","113.57","113.00","20.94K","-0.04%"
"11/08/2022","113.60","113.43","113.60","113.00","27.57K","0.15%"
"11/07/2022","113.43","113.10","113.45","112.82","30.71K","0.25%"
"11/04/2022","113.15","112.76","113.15","112.76","17.82K","-0.21%"
"11/03/2022","113.39","113.00","113.39","112.78","23.02K","0.55%"
"11/01/2022","112.77","113.80","113.81","112.40","26.27K","-0.34%"
"10/31/2022","113.15","113.18","113.29","112.00","20.87K","-0.22%"
"10/28/2022","113.40","113.84","113.94","113.23","25.25K","-0.39%"
"10/27/2022","113.84","113.65","113.84","113.22","24.90K","0.04%"
"10/26/2022","113.80","113.48","113.84","113.01","33.06K","0.27%"
"10/25/2022","113.49","113.50","113.50","112.55","26.73K","-0.01%"
